Doculect,l_0,c_tnsmood,c_aspect,c_Aper,c_Anum,c_Uper,c_Unum,c_plur,wordform,f_p1,f_p2,f_p3,f_stem,f_s1,f_s2,f_s3
Ngkolmpu,TOUCH,futign,dur,1,sg,3,nsg,npl,srpinontomo,,s,r,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,1,sg,3,nsg,pl,srpinontomo,,s,r,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,1,nsg,2,sg,npl,ntpinontomoy,,nt,,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,1,nsg,2,sg,pl,ntpinontomoy,,nt,,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,1,nsg,2,nsg,npl,srpinontomoy,,s,r,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,1,nsg,2,nsg,pl,srpinontomoy,,s,r,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,1,nsg,3,nsg,npl,srpinontomoy,,s,r,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,1,nsg,3,nsg,pl,srpinontomoy,,s,r,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,2,sg,1,sg,npl,bpinontomo,,b,,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,2,sg,1,sg,pl,bpinontomo,,b,,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,2,sg,1,nsg,npl,ntpinontomo,,nt,,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,2,sg,1,nsg,pl,ntpinontomo,,nt,,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,2,sg,3,nsg,npl,spinontomo,,s,,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,2,sg,3,nsg,pl,spinontomo,,s,,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,2,nsg,1,sg,npl,bpinontomoy,,b,,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,2,nsg,1,sg,pl,bpinontomoy,,b,,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,2,nsg,1,nsg,npl,ntpinontomoy,,nt,,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,2,nsg,1,nsg,pl,ntpinontomoy,,nt,,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,2,nsg,3,nsg,npl,spinontomoy,,s,,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,2,nsg,3,nsg,pl,spinontomoy,,s,,pino,nt,omo,y
Ngkolmpu,TOUCH,futign,dur,3,sg,1,sg,npl,brpinontomo,,b,r,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,3,sg,1,sg,pl,brpinontomo,,b,r,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,3,sg,1,nsg,npl,ntpinontomo,,nt,,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,3,sg,1,nsg,pl,ntpinontomo,,nt,,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,3,sg,2,sg,npl,ntpinontomo,,nt,,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,3,sg,2,sg,pl,ntpinontomo,,nt,,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,3,sg,2,nsg,npl,srpinontomo,,s,r,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,3,sg,2,nsg,pl,srpinontomo,,s,r,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,3,sg,3,nsg,npl,srpinontomo,,s,r,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,3,sg,3,nsg,pl,srpinontomo,,s,r,pino,nt,omo,
Ngkolmpu,TOUCH,futign,dur,3,nsg,1,sg,npl,brpinontomoy,,b,r,pino,nt,omo,y
